track_id,track_name,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,duration_ms,key,valence,speechiness,mode,play_number,playlist_number
5qcq39w4Z5UbRxGA3Ry0w5,The Paddle,0.789,0.012,0.851,129.968,0.809,-9.176,0.059,387680,7,0.834,0.0721,1,32,0
3uahZPFLqwDp0Jje5K60q4,Desire,0.728,0.013,0.792,133.971,0.903,-8.754,0.108,171953,6,0.679,0.04,0,33,0
5mrZkownT1wEALUBUW9x3A,Close to the Edge,0.775,0.000782,0.725,124.0,0.186,-6.082,0.0756,403813,3,0.668,0.0409,0,34,0
47QUKurZgMF7ZIRgwaFf7r,Lobster Telephone - Full Length,0.761,0.00521,0.686,129.985,0.219,-7.297,0.0845,349635,9,0.804,0.0378,1,35,0
19mPqF8IRcFBTjjX0YXazd,Hot Java,0.797,0.0011,0.792,132.001,0.915,-10.524,0.368,341818,2,0.519,0.0497,1,36,0
7oaQ1AHKkOH3XBbp1lQTgP,30003a,0.794,0.00616,0.75,127.974,0.941,-9.671,0.0588,419961,7,0.337,0.0525,1,37,0
2HHjWqDRBDWF33tlrJPRLm,Brain Rays,0.344,0.000291,0.854,170.03,0.787,-5.064,0.297,293000,10,0.22,0.062,0,38,0
459x3l9yol31jT9brELv4f,One to Zen,0.641,0.000207,0.957,132.001,0.874,-6.748,0.354,500500,6,0.842,0.0436,1,39,0
2OzWNBl541iIac1PHtITkH,Willow,0.711,0.00446,0.913,126.999,0.886,-5.015,0.0518,368943,10,0.17,0.0524,0,40,0
7hhclvecTpNxNNRCk7NUoc,Little L,0.878,0.168,0.724,121.906,0.0116,-5.373,0.133,295400,10,0.904,0.129,0,41,0
4CFMIIUs9526Xxd17VPSAj,Superclass (Lucas Lee's Deep In The Cut Mix) - Lucas Lee Remix,0.722,0.102,0.928,122.995,0.912,-5.426,0.126,389516,5,0.596,0.0458,1,42,0
1P0lq7DjgZnqR76Q5gFM2m,House Music (Drum Mix 2),0.8,0.204,0.94,127.986,0.861,-9.565,0.0741,461013,5,0.65,0.0511,0,43,0
4TymjSPrVbEYBzhKChkeQJ,Teardrops (Don't stop The Music) - Nick Morgan Remix,0.77,0.0131,0.815,124.002,0.897,-8.625,0.204,429696,3,0.462,0.0639,0,44,0
18DPBQG245AY7J3rRl4tH0,Nice N Tight - Urban Blues Project Remix,0.725,0.0021,0.945,124.995,0.721,-7.722,0.109,454880,5,0.837,0.0481,0,45,0
3NMxkmSJ3opyoXbKE5Xmv0,Velo Que Bonito,0.803,0.00879,0.904,122.992,0.845,-6.744,0.0788,391220,6,0.0939,0.0403,1,46,0
3oUaDxWbRHZls0gyZZ7bDZ,U Sure Do,0.702,0.0146,0.854,127.964,0.482,-9.344,0.117,298987,3,0.4,0.0713,0,47,0
6lnL2lU4Pjhs1vQP8W1HhT,Foreal - Seb Zito Remix,0.806,0.00134,0.879,127.012,0.914,-10.774,0.127,424503,1,0.618,0.0689,1,48,0
1zfPh26JQxIrLSLW7gGYai,Cleo - Extended Mix,0.803,0.00103,0.556,125.012,0.794,-7.081,0.0448,378750,8,0.688,0.059,0,49,0
5ZB4nMkRRPxIcKIKJscNVK,Deep N'Yo Soul - Vocal Mixx,0.788,0.00409,0.791,125.015,0.565,-6.639,0.0865,404869,9,0.583,0.037,1,50,0
07dt1UuXZJvlceiRfn6wIm,Off The Wall,0.794,0.0142,0.823,125.943,0.89,-9.528,0.0772,324025,0,0.713,0.0452,1,51,0
59Qcp3nhxhLgu3PhSBkDmz,Traction - Paride Saraceni Remix,0.731,0.000308,0.734,123.994,0.849,-5.306,0.554,505161,7,0.289,0.0409,1,52,0
18zbGRbRmj5PeaREIdvvY2,Burn After Reading,0.797,0.0066,0.855,126.0,0.684,-8.502,0.0922,365716,6,0.868,0.0573,0,53,0
234FL0Q5RFZI7H24hMDJZR,Jack,0.808,0.00062,0.914,123.995,0.922,-6.116,0.0502,408397,10,0.73,0.0535,0,54,0
6Etf0OY9f0PK4NHvmb1f3m,Jump Upped - Original Mix,0.805,0.000326,0.949,123.986,0.572,-4.665,0.0192,387097,1,0.593,0.0726,1,55,0
3u1JsbCvZ5wxQNkW5vj5eE,Bass Tribe,0.788,0.0002,0.887,124.983,0.905,-12.547,0.0786,338867,5,0.852,0.0536,0,56,0
1ERU3zEnFqexwIv60Rlx4z,Ease Your Mind - Radio Mix,0.904,0.0204,0.915,126.013,0.831,-4.502,0.115,344000,11,0.716,0.135,0,57,0
3OmIjYUcOawxzkhXKaeDA2,Turn Up The Bass - Turn Up The House Mix By Tyree Cooper,0.805,0.0027,0.846,127.208,0.00177,-6.83,0.286,309998,7,0.43,0.214,1,58,0
0UUcK8m7Q7cNFiuSvHs3Ty,Obreros,0.793,0.00484,0.98,126.017,0.557,-7.6,0.0395,443810,2,0.227,0.0526,0,59,0
1wDtbSYvTsPfBMfLWACKVW,Why Do You Love Me? - Fred Everything's Dub,0.721,0.000389,0.789,124.023,0.867,-10.203,0.0697,407177,9,0.309,0.0496,1,60,0
4IGE0BbbbqGZNAYIJzgNt0,Body'n'soul - Ian Pooley's Soul Mix [2015 Remaster],0.885,0.000126,0.807,126.994,0.803,-5.944,0.473,455087,6,0.946,0.111,1,61,0
1jhkzxRKrYCtTQTVniecEp,Glasgow Underground 97:07 House Mix - Continuous DJ Mix,0.816,0.00425,0.786,124.003,0.761,-8.433,0.0563,3905807,1,0.438,0.0463,1,62,0
6iNw24AhlYcukCLUtU84Yr,Lift Me Up,0.801,3.52e-05,0.771,125.99,0.873,-10.985,0.0725,432565,10,0.838,0.0906,0,63,0
0U9uoZPdz4DfC5dcPw9JJW,Dakar Disco - Crackazat Remix,0.78,0.0118,0.828,124.054,0.426,-10.473,0.0938,263712,4,0.661,0.0528,0,64,0
6YR0hdWdt327cDGGJmmm5T,Wallop,0.806,5.04e-05,0.715,123.014,0.875,-10.176,0.0852,421463,1,0.397,0.0621,1,65,0
7iGu26wOl5UMzqHYeU3aoa,Look Around You,0.63,0.0424,0.899,122.017,0.85,-7.299,0.0929,474590,5,0.24,0.0421,0,66,0
4VSvD3N62k8RmZtSIQT4IM,For Sunking - Melons Sex Strip Mix,0.846,0.000262,0.559,126.004,0.526,-8.976,0.0772,434241,10,0.82,0.188,0,67,0
4rZJEmachLsxGvZC3V9aCA,89's The Year,0.756,0.00596,0.869,124.006,0.907,-9.629,0.619,254444,11,0.773,0.0446,0,68,0
008ZNFo4fBW0fCkqA3IcQg,Labaneria - Julien Chaptal Remix,0.811,0.000202,0.773,125.999,0.858,-7.06,0.0791,373810,1,0.709,0.0525,0,69,0
4GTY7EY6pfBknZlxzNI9MF,Fire Papi,0.746,0.0166,0.947,123.982,0.952,-7.679,0.125,375711,11,0.589,0.0733,0,70,0
3j8xObsGOilqWptFLy8ngi,Doin' Ya Thang,0.822,0.00264,0.902,123.997,0.0524,-4.691,0.0637,415417,9,0.63,0.128,1,71,0
42oj2jyTuCvD6OIgLbrPAO,Haven't You Heard - Butch Remix,0.781,0.0132,0.827,127.99,0.636,-6.196,0.23,330234,11,0.599,0.0525,0,72,0
0Zf85TrXLJMUISr4lUik5A,Resist The Storm,0.761,0.000952,0.938,127.99,0.85,-8.766,0.0589,373176,0,0.79,0.0649,1,73,0
1TYVq8KyZfFEIXBaXsMcJK,Amor,0.797,0.00242,0.92,123.001,0.898,-8.116,0.0792,530732,7,0.0338,0.0597,1,74,0
3bPUPhzkvGNgvMeSxdQoYI,That Acid Track,0.869,0.0085,0.691,126.012,0.365,-9.688,0.103,475405,10,0.594,0.0982,0,75,0
1OLvZPmX4raJOZnU47J5mJ,See U in My Dreams,0.802,4.34e-05,0.907,122.978,0.605,-9.925,0.0297,249756,7,0.159,0.0449,1,76,0
1pzx2eOnLv7DTl25gQRdET,Big Plastic Room,0.666,0.0145,0.85,122.013,0.827,-10.306,0.0929,537795,7,0.194,0.0431,1,77,0
0lFbrX7pE8WtxtCgGzBX98,Triangular Dance - Belaria Remix,0.806,0.009,0.906,117.989,0.866,-5.308,0.387,274760,2,0.417,0.0514,1,78,0
6EEcPi3jwGYlG7BdMlnf42,Typerope - Original Mix,0.801,4.07e-05,0.958,130.478,0.943,-10.959,0.11,490983,1,0.874,0.0526,1,79,0
1aoHZfwbeqzpu0Y7wXOMHN,The Walk,0.805,0.00153,0.631,125.991,0.906,-9.801,0.0604,389601,1,0.0544,0.0726,1,80,0
1nbrbXcF9cZHnmXEwF3RiX,Obsession,0.728,0.0203,0.969,128.828,0.000561,-10.485,0.252,246867,9,0.877,0.0467,0,81,0
5ioAWl1uaK1Ke9fzBKzkwf,Cascade,0.803,0.000761,0.868,130.002,0.939,-10.801,0.0819,415115,1,0.122,0.0542,1,82,0
3vomzfxUuA23fJGqdnAbuC,Pulse IX,0.687,0.000148,0.968,128.0,0.876,-6.571,0.0449,453758,8,0.621,0.0445,0,83,0
2jrYQSzTHm4fZSYSF0GQXb,Sweat,0.864,0.00188,0.728,129.995,0.763,-8.211,0.111,356400,4,0.637,0.0777,0,84,0
4O6aFTVJScCFm8e2lQtIvJ,Big Beat Manifesto,0.796,0.00205,0.859,126.025,0.759,-10.003,0.264,470075,2,0.557,0.0462,1,85,0
2VuzBUB5V9AlpniCUhaszP,Fake ID (Coke & Rum Remix),0.859,0.011,0.483,124.931,0.00481,-13.12,0.316,126720,9,0.544,0.0921,0,86,0
7zz75gb7McZqmPHqYsu9ki,By Your Side,0.69,0.000415,0.771,127.012,0.895,-6.584,0.0422,464402,0,0.161,0.0412,0,87,0
7pmhk6JO19qgpI6nWk6hpo,Xumba Xumba - Eden Burns Remix,0.754,0.000918,0.882,126.004,0.926,-7.446,0.141,300339,2,0.681,0.0484,1,88,0
5UVwqwrWsVLjjPvOOZkHem,Don't Stahp - Edit,0.801,0.0198,0.677,128.002,0.853,-11.873,0.0354,228750,1,0.2,0.0694,1,89,0
2tn1s4oIr4VziLFVkHRp9y,Ketamine Boogie,0.747,0.105,0.464,124.005,0.468,-13.681,0.111,591399,11,0.407,0.0426,0,90,0
46n0wrSJEaMogpv54UWFgi,Shaker,0.788,0.15,0.873,122.979,0.907,-10.293,0.0886,439205,10,0.143,0.0677,0,91,0
5aAhK5paanv8MAM9goo9Fi,Joy,0.808,0.000663,0.698,130.013,0.836,-11.52,0.116,446097,6,0.647,0.0619,0,92,0
2fGRJzoiYJYAzlQAyBONMb,Morning Sex,0.81,0.0473,0.353,124.991,0.000104,-9.536,0.082,175313,6,0.731,0.0437,1,93,0
1SNbKSraeBuFBuHeSpHLis,Magnetic (Starlight Remix),0.793,0.104,0.725,130.96,0.00393,-4.283,0.0611,168779,6,0.902,0.0653,1,94,0
3FTtAV8d9qHyMjlvAGOPdu,e-motions (with Erika de Casier),0.796,0.671,0.556,128.0,0.0272,-5.901,0.115,168724,10,0.472,0.034,1,95,0
1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),0.636,0.0458,0.729,146.009,0.0,-4.495,0.384,319192,2,0.141,0.055,1,96,0
54DvEccR0kKBdrGPbBnWai,Dance of the Crab,0.647,0.0582,0.877,121.994,0.205,-7.126,0.377,209695,8,0.274,0.0532,0,97,0
5p222zIkd68fhu1BWj9umv,Working Night - DJ Rolando Remix,0.789,0.201,0.988,133.003,0.926,-7.412,0.0742,364267,8,0.594,0.0484,0,98,0
3xxARypr8NdEMesYUHSsGK,Knights of the Jaguar,0.679,0.00698,0.915,137.668,0.858,-6.811,0.159,397000,2,0.754,0.0411,0,99,0
7lxbCUxQXJRkPQ1eErYZd3,Raw - Tony Romera Remix,0.865,0.392,0.967,128.005,0.877,-5.03,0.353,217500,0,0.163,0.087,1,100,0
0kQR814yrWyoGFXEkO0WbP,8th Movement,0.867,0.00103,0.849,126.012,0.897,-8.947,0.0635,459161,9,0.669,0.0575,0,101,0
6J2zFZjhH4YkGPd4ImXeL4,Equation,0.629,0.000284,0.73,123.989,0.881,-10.9,0.0882,469494,0,0.37,0.0395,0,102,0
3F1hU8F97UoVouQRgasdM4,I Can Never Be Yours - Hot Version,0.63,0.000401,0.905,125.988,0.944,-8.352,0.0657,214286,5,0.145,0.0361,1,103,0
3hpqxopZ1F42AkQTTWaSpF,Blind Sequence,0.808,0.000432,0.724,123.01,0.897,-14.472,0.126,452891,6,0.316,0.0462,1,104,0
11f1YJSbvi4PdYc9WwHI3h,Adamntium,0.807,0.00048,0.879,126.008,0.899,-12.704,0.0693,489524,11,0.432,0.0647,1,105,0
7fzHQizxTqy8wTXwlrgPQQ,MILLION DOLLAR BABY,0.849,0.0982,0.699,138.003,0.000215,-5.106,0.068,155152,1,0.927,0.0436,0,106,0
3AntMecs7ThSZLnr2o8r78,Cycling,0.753,0.0175,0.914,143.018,0.883,-6.796,0.0908,258347,6,0.578,0.0537,0,107,0
6vrsFaISBLBKzQGZmqDnxK,Lobster Telephone - Edit,0.714,0.00258,0.809,129.974,0.0495,-6.419,0.0954,214315,6,0.878,0.0339,0,108,0
2tEXoo3FtGUBjjgabDBrsJ,Hot!,0.805,0.000169,0.804,127.996,0.924,-12.221,0.0783,378149,6,0.0904,0.0556,0,109,0
4Ma26Q71jUSOr9jdoRIYtg,Lip Biter - Mixed,0.835,0.00464,0.492,125.973,0.732,-14.02,0.136,80895,1,0.475,0.0856,0,110,0
7MJoleopJoAcQey2K2Z5Kg,Teaspoon La Qoh - Mixed,0.791,0.00279,0.585,129.384,0.927,-17.914,0.0796,88961,4,0.357,0.0723,0,111,0
3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,0.743,0.0039,0.446,123.596,0.118,-7.807,0.337,232107,4,0.278,0.0683,0,112,0
1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - Remastered,0.692,0.225,0.711,125.135,0.0,-7.498,0.12,216933,0,0.875,0.0317,0,113,0
37Y0dT6HzzOrbjrrq3pwTy,In A Daze,0.752,0.000327,0.935,125.01,0.855,-7.471,0.0725,300770,6,0.438,0.0482,1,114,0
0PH13t13nWIpOba6Jr0Cxq,Echo Shaper,0.752,0.000185,0.997,128.032,0.799,-4.119,0.0401,322800,11,0.537,0.0495,0,115,0
0IJl8RYM49rpcx29VCIPbS,Gamma Closure,0.792,0.00539,0.872,125.01,0.922,-10.185,0.081,409318,11,0.422,0.0721,0,116,0
3QUGjdpi5hs18UvhL8lDux,A Voyage To The Jet Set (Original Mix),0.507,0.0018,0.828,168.014,0.818,-8.754,0.0594,302545,10,0.648,0.0463,1,117,0
6y5UMIVVJDsULZwfZ0bNRX,Sossaup,0.829,0.24,0.827,105.019,0.172,-4.472,0.101,156000,1,0.283,0.0656,0,118,0
1LwvkpRU07Ch1nSGVvNSc0,Can't Help It,0.791,0.0868,0.535,125.009,0.756,-12.054,0.179,338162,5,0.363,0.0461,0,119,0
0GZaDedjoVtS63GQ131cjR,89 When Things Were Fine - Demi Riquísimo Remix,0.74,0.102,0.894,126.021,0.798,-8.544,0.0855,275250,11,0.676,0.0574,0,120,0
5Is2fHETxX7APV5U8WEUgG,Sun Express - Emergency Mix,0.67,0.00963,0.681,131.009,0.894,-11.968,0.0507,390285,2,0.144,0.0418,1,121,0
0wkWXhsWpZtq7J8MtNF3pN,What Is This Sound? (Original Mix),0.796,7e-05,0.956,127.974,0.747,-6.43,0.371,445067,4,0.912,0.0484,0,122,0
5OJaO9Nw8zKlsqYyu0cHkg,Upper/Lower,0.801,0.0258,0.502,128.997,0.917,-12.486,0.114,393047,11,0.446,0.0564,1,123,0
0aQeovE8Qn10BrLnZiiIDq,Make This Right (Dub),0.8,0.249,0.495,125.008,0.916,-15.953,0.106,278768,8,0.749,0.0919,1,124,0
1CzfZY7lXaysy84x3a2jix,Midnight in Peckham,0.639,0.717,0.677,118.003,0.904,-16.293,0.121,420919,10,0.532,0.0388,0,125,0
24NhRqrImwerVsNlDDGyJn,Tribaile - Len Mora & Joaquin Postigo,0.807,3.15e-05,0.777,124.003,0.874,-7.176,0.0782,472258,7,0.116,0.04,1,126,0
3hBa3kTPzzgfdW420vu4VM,Dark Side Of The Moon - Voigtmann V-Funk Remix,0.797,0.000372,0.777,130.021,0.941,-10.801,0.105,426597,8,0.561,0.0567,0,127,0
3LrjnxTvGoJ6KvetI3o8P4,Astral Dream,0.729,0.0102,0.922,136.008,0.883,-8.539,0.0585,389725,0,0.869,0.0422,1,128,0
2u9cQVVkAd55R3KOoPuRHU,Say You Do,0.785,3.85e-05,0.631,121.022,0.667,-10.28,0.247,365254,6,0.608,0.0472,0,129,0
1gQnv7ua7EzxApdD8UV07p,816 To Nunhead,0.726,0.000177,0.541,122.001,0.883,-11.05,0.116,379824,6,0.611,0.0792,0,130,0
7tWIvzCfe5GFZ3oA1SmPEf,Queen,0.744,0.00297,0.899,121.87,0.923,-8.304,0.195,417049,9,0.378,0.0434,1,131,0
4Q2IUQo8YuoCqiRrDazKK4,Water,0.525,0.106,0.873,123.854,0.000137,-5.03,0.253,191734,6,0.292,0.0688,1,132,0
4RrwcHywcLq3qVY7IVGxOL,Call of the Wild,0.729,0.00776,0.767,121.998,0.761,-9.234,0.197,532102,10,0.366,0.0692,0,133,0
2kuGUHPdB2T4uE0jwTDrUG,Abataka,0.768,0.0593,0.903,125.502,0.618,-7.942,0.103,520159,5,0.979,0.0554,0,134,0
58r4JuwHhXLAkttkaUZfLw,Got to Be Real,0.836,0.0943,0.626,114.657,0.742,-10.143,0.153,307947,9,0.898,0.0335,0,135,0
5KalCBaGQtsOOl12K6spIe,Tony,0.81,0.000123,0.881,124.032,0.921,-9.259,0.0361,288250,4,0.45,0.0738,1,136,0
0xkLzThujhf22Frzu8YP30,Sugar Snap,0.736,0.000109,0.921,133.003,0.785,-7.059,0.0498,355489,2,0.635,0.0478,1,137,0
38tXZcL1gZRfbqfOG0VMTH,How Sweet,0.803,0.0816,0.895,124.994,5.67e-06,-2.888,0.154,219027,1,0.757,0.0623,1,138,0
3aBeKDc0GoCws8pJR33Ofu,Naughty Boy,0.79,6.14e-05,0.761,122.17,0.24,-9.344,0.0477,239360,10,0.888,0.0765,0,139,0
0QJ11tqN85By0nwwDJVoeP,born slipping,0.904,0.415,0.407,125.012,0.131,-10.507,0.133,272093,8,0.297,0.307,1,140,0
7oNOKWpTqTnTJeyLwkwWqN,better,0.734,0.421,0.585,124.001,0.443,-13.899,0.0919,301933,8,0.144,0.0535,0,141,0
4Wrd7TpAgRmlUtcbpJCW3T,flight fm,0.797,0.00566,0.626,140.001,0.492,-7.923,0.0922,247821,9,0.0815,0.0455,1,142,0
4SXZvIjujIcmMtWbjnSwZT,Fiorucci Made Me Hardcore,0.701,0.0201,0.843,136.984,0.568,-8.227,0.0309,231241,11,0.88,0.0504,0,143,0
0JL9dXZ2tjMabWjVjeutKH,Polyghost,0.298,0.927,0.228,127.917,0.847,-19.981,0.11,108800,3,0.0839,0.0367,0,144,0
7gMwTtOLh618Q8lzuYtkKo,Startrack,0.529,0.00811,0.97,135.015,0.914,-2.815,0.161,346000,4,0.0755,0.0564,1,145,0
1dvO51qavnhrsyf4VhvEHu,Dance Series One,0.805,0.0057,0.612,128.007,0.935,-13.979,0.0963,517500,10,0.338,0.0545,0,146,0
0MtB2L07CwDyjNed91CAT5,Country Classic,0.784,0.0513,0.703,128.977,0.904,-11.302,0.0617,350755,10,0.294,0.0541,0,147,0
7yHcVzmOsucHcSodyY9gZe,House Non Stop,0.806,0.000726,0.527,125.993,0.853,-12.901,0.0565,381304,6,0.401,0.0754,1,148,0
2heqTatLuCB8xBhRJRl09Y,C'mon,0.809,0.000342,0.591,123.974,0.88,-11.344,0.125,402581,1,0.0359,0.0675,1,149,0
5R8cMrDnddKu6PAyDfM4Bl,Fly Over the Woods,0.78,0.000387,0.593,124.996,0.844,-13.063,0.118,527638,4,0.0625,0.064,0,150,0
4Dk8hUx1TlSkoQ8ZzjWX1G,Ramses,0.7,0.000283,0.684,123.029,0.901,-7.478,0.102,478049,8,0.29,0.0408,1,151,0
6OJP6XHlR3XYzmKjSAthRe,Bunker - Jay Hill's Dreamy Tech Remix,0.867,0.000391,0.372,124.021,0.849,-10.896,0.0705,418130,8,0.602,0.37,0,152,0
5mdqgmUY1qF1oGQWYZyszO,Alone Under The Moonlight - Original Mix,0.782,0.0746,0.853,127.007,0.878,-12.46,0.111,336850,7,0.262,0.0527,1,153,0
3TYKy7z16cb93etYPSl3m5,100,0.823,0.00163,0.712,123.999,0.597,-8.528,0.0931,304184,5,0.214,0.0543,1,154,0
0yojQCkh9ljHSaO1XQEqRE,Caramba,0.619,3.28e-05,0.887,124.006,0.866,-6.082,0.315,444905,0,0.115,0.0462,1,155,0
6zvDsTvB0k6yLkwO1dqTQC,Hands Off My Beat,0.701,0.00523,0.794,122.996,0.861,-10.571,0.0467,476297,4,0.223,0.0388,0,156,0
2zbGAT0zvvqOfKu9ICnBvJ,Free Your Mind,0.804,0.0186,0.671,124.013,0.771,-12.638,0.0842,307949,10,0.291,0.0549,0,157,0
3WeBHZ8z5YVdyDojUAARjs,Relaxed,0.813,0.00217,0.749,121.526,0.907,-11.88,0.111,422002,7,0.0988,0.0522,0,158,0
5oEIZ5G6XfTGpZIezAQTmc,Cockteaser - Original Club Mix,0.749,1.79e-05,0.9,123.999,0.933,-4.437,0.126,373423,6,0.259,0.0481,1,159,0
22Q9cJUBzmIxKmaHXx41XI,Only Solution - Original Mix,0.795,0.00314,0.931,126.002,0.922,-7.229,0.66,411429,4,0.257,0.0634,1,160,0
39SDf41peQWlcOUrBb1a0l,Acceleration - Wigbert Remix,0.8,0.0033,0.673,128.001,0.941,-13.265,0.0757,451078,2,0.0993,0.0456,1,161,0
0856mHSUyYwCUEd5Y6Cu7t,Session #027 Eat Sleep Techno Repeat - Live Improvised Modular Techno,0.725,0.00603,0.912,132.981,0.895,-7.914,0.11,4713151,0,0.0667,0.0471,1,162,0
3cWXvlMyjQXlOLgwUhnh6C,I Know,0.659,0.000436,0.74,121.047,0.807,-9.606,0.0812,487317,2,0.293,0.0467,1,163,0
6IRaryF2FbpJQp6vtTr00X,Portland - Tuff City Kids TB Mix,0.756,0.000478,0.857,125.009,0.576,-7.259,0.0665,364805,0,0.904,0.058,1,164,0
7nNy9RsKQnjYkJ8MyX8TpK,Pick It up Honey - Original Mix,0.719,0.00428,0.971,121.994,0.165,-2.862,0.0546,287213,3,0.79,0.091,1,165,0
343ykKU3XE0833HZRUoTdR,Set Lasers To Stun - Rebolledo Remix,0.804,0.0109,0.669,119.991,0.81,-8.878,0.0772,428658,10,0.658,0.0566,0,166,0
